LOCATION,CAR NAME,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
"Rivers State, Port-Harcourt",Honda City 2012 Gray,"2,625,000",Local Used,281437 km,Automatic
"Lagos State, Ogba",Toyota Corolla 2010 Silver,"10,500,000",Foreign Used,244609 km,Automatic
"Lagos State, Surulere",Toyota Corolla 2005 Red,"3,822,000",Local Used,407510 km,Automatic
"Rivers State, Port-Harcourt",Mercedes-Benz GLA-Class 2015 Black,"19,125,000",Local Used,222766 km,Automatic
"Lagos State, Abule Egba",Ford Edge 2013 Silver,"6,100,237",Local Used,161962 km,Automatic
"Abuja (FCT), Wuse",Toyota Fortuner 2013 Black,"14,700,000",Local Used,85233 km,Automatic
"Lagos State, Surulere",Nissan Almera 2013 Silver,"6,300,000",Local Used,110418 km,Automatic
"Abuja (FCT), Jabi",Honda Accord Crosstour 2012 Black,"8,840,000",Local Used,123069 km,Automatic
"Abuja (FCT), Jabi",Toyota Camry 2018 Gray,"26,000,000",Local Used,108353 km,Automatic
"Lagos State, Abule Egba",Toyota RAV4 2002 Silver,"4,680,000",Local Used,101575 km,Automatic
"Lagos State, Abule Egba",Lexus ES 2008 Gold,"9,880,000",Local Used,95055 km,Automatic
"Oyo State, Ibadan",Mazda 323 1998 Red,"4,935,000",Foreign Used,144787 km,Automatic
"Oyo State, Ibadan",Dodge RAM 2013 Blue,"19,950,000",Foreign Used,303611 km,Automatic
"Oyo State, Ibadan",Hyundai Sonata 2015 Gray,"15,750,000",Foreign Used,156942 km,Automatic
"Abuja (FCT), Karu",Toyota Carina 1992 Gray,"2,625,000",Local Used,345213 km,Automatic
"Lagos State, Yaba",Nissan Pathfinder 2002 Black,"2,520,000",Local Used,382215 km,Automatic
"Lagos State, Ikorodu",Toyota Camry 2002 Green,"3,224,000",Local Used,181535 km,Automatic
"Abuja (FCT), Garki 2",Toyota 4-Runner 2003 Gray,"8,840,000",Local Used,196692 km,Automatic
"Lagos State, Ojodu",Toyota RAV4 2008 Black,"4,620,000",Local Used,198384 km,Automatic
"Lagos State, Surulere",Lexus RX 350 2009 Black,"12,495,000",Foreign Used,364270 km,Automatic
"Abuja (FCT), Kubwa",Acura MDX 2008 Gray,"5,586,000",Local Used,106889 km,Automatic
"Abuja (FCT), Garki 2",Toyota Camry 1999 Gold,"2,058,000",Local Used,197214 km,Automatic
"Abuja (FCT), Gudu",Toyota Camry 2009 Silver,"7,280,000",Local Used,203316 km,Automatic
"Abuja (FCT), Gudu",Toyota Sienna 2008 Gray,"6,760,000",Local Used,167005 km,Automatic
"Rivers State, Port-Harcourt",Toyota Highlander 2001 Black,"4,095,000",Local Used,258670 km,Automatic
"Abuja (FCT), Garki 2",BMW 528i 2013 White,"16,800,000",Foreign Used,271920 km,Automatic
"Abuja (FCT), Jabi",Lexus ES 2009 Black,"11,960,000",Local Used,259454 km,Automatic
"Abuja (FCT), Jabi",Toyota Avalon 2008 Silver,"5,250,000",Local Used,239078 km,Automatic
"Lagos State, Ikeja",Nissan Rogue Sport 2017 Gray,"14,700,000",Local Used,185989 km,Automatic
"Lagos State, Yaba",Volkswagen Sharan 2001 Red,"7,350,000",Foreign Used,224245 km,Manual
"Rivers State, Port-Harcourt",Toyota Highlander 3.5L 2WD 2013 Black,"18,200,000",Local Used,53490 km,Automatic
"Lagos State, Lekki",Toyota Camry 2007 Red,"4,882,500",Local Used,83772 km,Automatic
"Abuja (FCT), Wuse",Honda Pilot 2010 Black,"6,006,000",Local Used,151098 km,Automatic
"Abuja (FCT), Kubwa",Mercedes-Benz C300 2015 Black,"18,375,000",Local Used,100690 km,Automatic
"Lagos State, Lekki",Honda Accord 2014 Black,"9,975,000",Local Used,86998 km,Automatic
"Lagos State, Ikorodu",Honda CR-V 2.0i ES Automatic 2002 Black,"2,268,000",Local Used,234153 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Corolla 2008 Blue,"8,320,000",Local Used,162746 km,Automatic
"Lagos State, Kosofe",Honda Accord 2022 Silver,"41,600,000",Foreign Used,19347 km,Automatic
"Ondo State, Akure",Mercedes-Benz C300 2010 Black,"6,825,000",Local Used,133856 km,Automatic
"Lagos State, Yaba",Lexus RX 400h 2007 Silver,"8,925,000",Foreign Used,321433 km,Automatic
"Abuja (FCT), Central Business District",Peugeot 406 2000 Silver,"3,150,000",Local Used,999999 km,Automatic
"Abuja (FCT), Kubwa",Honda Accord 2008 Blue,"4,074,000",Local Used,143431 km,Automatic
"Delta State, Oshimili South",Toyota Camry 2004 Green,"4,680,000",Local Used,388145 km,Automatic
"Lagos State, Ikeja",Lexus RX 350 2010 Black,"24,960,000",Foreign Used,181914 km,Automatic
"Lagos State, Magodo",Honda Accord 1999 Silver,"1,785,000",Local Used,238689 km,Automatic
"Abuja (FCT), Gwarinpa",Mercedes-Benz C300 2014 Black,"13,520,000",Local Used,158952 km,Automatic
"Lagos State, Ikeja",Ford Edge 2007 Gray,"4,074,000",Local Used,389067 km,Automatic
"Rivers State, Port-Harcourt",Lexus IS 2019 Gray,"22,050,000",Local Used,81926 km,Automatic
"Lagos State, Amuwo-Odofin",Lexus GX 2012 Black,"34,320,000",Local Used,122063 km,Automatic
"Akwa Ibom State, Uyo",Toyota Corolla 2012 Black,"6,195,000",Local Used,174481 km,Automatic
"Oyo State, Ibadan",Skoda Octavia 2013 Blue,"2,625,000",Local Used,116198 km,Automatic
"Oyo State, Ibadan",Toyota Camry 2004 Silver,"4,160,000",Local Used,158244 km,Automatic
"Lagos State, Surulere",Toyota Matrix 2005 Gray,"4,328,625",Local Used,284446 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Camry 2008 Gold,"5,460,000",Local Used,253343 km,Automatic
"Lagos State, Kosofe",Toyota Camry 2003 Gray,"3,150,000",Local Used,397212 km,Automatic
"Ondo State, Akure",Lexus ES 350 2011 Gray,"9,450,000",Foreign Used,178067 km,Automatic
"Lagos State, Alimosho",Acura TSX 2009 Brown,"5,355,000",Local Used,136399 km,Automatic
"Lagos State, Ikotun/Igando",Toyota Venza 2010 Black,"20,280,000",Foreign Used,162507 km,Automatic
"Lagos State, Surulere",Land Rover Lr4 2010 Black,"8,085,000",Local Used,157670 km,Automatic
"Lagos State, Lekki",Nissan Murano 2003 White,"2,625,000",Local Used,370487 km,CVT
"Abuja (FCT), Gudu",Toyota Camry 2004 Silver,"4,368,000",Local Used,224443 km,Automatic
"Lagos State, Lekki",Ford Edge 2012 Black,"9,360,000",Local Used,181421 km,Automatic
"Abuja (FCT), Gudu",Toyota Corolla 2007 Blue,"4,200,000",Local Used,159252 km,Automatic
"Lagos State, Lekki",Toyota Camry 2007 Red,"4,410,000",Local Used,103820 km,Automatic
"Lagos State, Ojodu",Lexus RX 300 2000 Black,"3,360,000",Local Used,340803 km,Automatic
"Lagos State, Yaba",Acura TL 2009 Black,"11,550,000",Local Used,344430 km,Automatic
"Lagos State, Ojodu",Honda Accord 2006 Black,"3,432,000",Local Used,207728 km,Automatic
"Delta State, Oshimili South",Toyota Highlander 2011 Blue,"16,120,000",Local Used,240935 km,Automatic
"Lagos State, Amuwo-Odofin",Lexus RX 330 2006 Black,"12,168,000",Local Used,317123 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Avalon Limited 2005 Gray,"4,618,687",Local Used,225606 km,Automatic
"Abuja (FCT), Lugbe District",Nissan Murano SE AWD 2005 Red,"3,465,000",Local Used,250562 km,Automatic
"Abia State, Aba North",Mercedes-Benz C300 2008 White,"7,140,000",Local Used,332046 km,Automatic
"Lagos State, Kosofe",Toyota Highlander 2012 Black,"19,760,000",Foreign Used,144673 km,Automatic
"Lagos State, Lekki",Toyota Corolla 2008 Beige,"5,775,000",Local Used,107280 km,Automatic
"Ogun State, Abeokuta North",Lexus ES 2005 Silver,"7,280,000",Local Used,408236 km,Automatic
"Abuja (FCT), Gudu",Hyundai Sonata 2013 Silver,"12,500,000",Foreign Used,194088 km,Automatic
"Lagos State, Lekki",Mercedes-Benz C300 2015 Black,"26,000,000",Local Used,142615 km,Automatic
"Lagos State, Lekki",Toyota Camry 2012 Silver,"15,600,000",Foreign Used,213601 km,Automatic
"Lagos State, Abule Egba",Lexus RX 350 2012 Black,"22,880,000",Local Used,225385 km,Automatic
"Lagos State, Abule Egba",Toyota Sienna 2008 Black,"5,250,000",Local Used,226519 km,Automatic
"Lagos State, Surulere",Ford Edge 2017 Brown,"18,375,000",Local Used,74040 km,Automatic
"Rivers State, Port-Harcourt",Toyota Matrix 2005 Silver,"3,990,000",Local Used,155682 km,Automatic
"Lagos State, Alimosho",Toyota RAV4 2020 Gray,"42,000,000",Foreign Used,380576 km,Automatic
"Edo State, Benin City",Toyota Avalon 2002 Silver,"4,725,000",Local Used,279717 km,Automatic
"Lagos State, Lekki",Toyota HiAce 2004 White,"5,062,500",Local Used,85680 km,Manual
"Lagos State, Amuwo-Odofin",Toyota Corolla 2004 Gray,"5,408,000",Local Used,413342 km,Automatic
"Abuja (FCT), Jabi",Peugeot 207 2008 Silver,"6,825,000",Foreign Used,179007 km,Manual
"Abuja (FCT), Garki 2",Toyota Camry 2004 Gold,"3,441,198",Local Used,262301 km,Automatic
"Abuja (FCT), Karu",Toyota Sienna 2007 Gold,"8,112,000",Local Used,98141 km,Automatic
"Lagos State, Alimosho",Honda Accord 2003 Gold,"2,625,000",Local Used,349159 km,Automatic
"Abuja (FCT), Garki 2",Toyota Camry 1999 Gold,"2,205,000",Local Used,241323 km,Automatic
"Rivers State, Port-Harcourt",Nissan Altima 2011 Blue,"8,400,000",Local Used,141377 km,CVT
"Lagos State, Lekki",Mercedes-Benz M Class 2013 White,"19,950,000",Local Used,193833 km,Automatic
"Enugu State, Enugu",Lexus LS 2007 Black,"8,715,000",Local Used,117659 km,Automatic
"Lagos State, Ikorodu",Toyota Sienna XLE FWD (3.3L V6 5A) 2004 Gray,"3,712,500",Foreign Used,232993 km,Automatic
"Lagos State, Magodo",Toyota Highlander 2017 Gray,"25,725,000",Local Used,92987 km,Automatic
"Lagos State, Ikotun/Igando",Toyota Camry 2003 Blue,"3,885,000",Local Used,222825 km,Automatic
"Rivers State, Port-Harcourt",Toyota Camry 2003 Black,"4,160,000",Local Used,232351 km,Automatic
"Lagos State, Ajah",Toyota Land Cruiser 4.6 V8 GX 2018 Black,"62,454,000",Local Used,176858 km,Automatic
"Abuja (FCT), Central Business District",Toyota Land Cruiser 2008 Black,"26,250,000",Local Used,91495 km,Automatic
"Lagos State, Alimosho",Lexus RX 350 2013 Silver,"29,120,000",Foreign Used,143854 km,Automatic
"Lagos State, Lekki",Chevrolet Camaro 2013 Black,"46,800,000",Local Used,126843 km,Automatic
"Lagos State, Ikeja",Volkswagen Golf 2008 Silver,"6,825,000",Local Used,171990 km,Automatic
"Lagos State, Ikeja",Nissan Rogue 2001 Black,"5,250,000",Local Used,199872 km,Automatic
"Lagos State, Surulere",Honda Accord 2009 Gray,"4,200,000",Local Used,135665 km,Automatic
"Delta State, Oshimili South",Toyota Sienna 2004 Ivory,"4,515,000",Local Used,319225 km,Automatic
"Rivers State, Port-Harcourt",Toyota Camry 2007 Gold,"6,760,000",Local Used,242569 km,Automatic
"Lagos State, Ogudu",Hyundai Ix35 2011 Blue,"8,400,000",Local Used,114787 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Matrix 2004 Silver,"3,780,000",Local Used,235114 km,Automatic
"Lagos State, Magodo",Toyota Highlander 2020 Silver,"65,520,000",Foreign Used,92036 km,Automatic
"Akwa Ibom State, Uyo",Ford Edge SE 4dr FWD (3.5L 6cyl 6A) 2007 Gray,"3,570,000",Local Used,87834 km,Automatic
"Lagos State, Lekki",Honda Accord 2003 Black,"2,268,000",Local Used,Automatic,Automatic
"Abuja (FCT), Lugbe District",Toyota Highlander 2012 Gold,"28,600,000",Foreign Used,154324 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Highlander 2018 Gray,"49,920,000",Local Used,176496 km,Automatic
"Lagos State, Alimosho",Nissan Pathfinder 2006 Gold,"4,200,000",Local Used,245326 km,Automatic
"Akwa Ibom State, Uyo",Toyota Corolla 1.4 VVT-i 2007 Black,"3,150,000",Local Used,224302 km,Automatic
"Lagos State, Isolo",Honda Accord Crosstour 2010 Red,"5,796,000",Local Used,103179 km,Automatic
"Oyo State, Ibadan",Toyota Fortuner 2015 Black,"31,500,000",Local Used,82363 km,Automatic
"Abuja (FCT), Lugbe District",Toyota RAV4 2002 Blue,"3,528,000",Local Used,260148 km,Automatic
"Rivers State, Port-Harcourt",Land Rover Range Rover Supercharged 2006 White,"16,800,000",Local Used,CVT,CVT
"Lagos State, Amuwo-Odofin",Toyota 4-Runner 2005 Blue,"8,528,000",Local Used,254431 km,Automatic
"Lagos State, Alimosho",Toyota Camry 2002 Gold,"3,640,000",Local Used,293519 km,Automatic
"Oyo State, Ibadan",Mercedes-Benz C230 2009 Gray,"5,250,000",Local Used,127527 km,Automatic
"Lagos State, Isolo",Lexus RX 350 2010 Gray,"19,425,000",Foreign Used,245135 km,Automatic
"Imo State, Owerri",Toyota Camry 2003 Blue,"4,576,000",Local Used,360582 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Camry 2008 Blue,"10,920,000",Foreign Used,253294 km,Automatic
"Lagos State, Ojodu",Land Rover Range Rover Vogue 2014 White,"10,290,000",Local Used,67229 km,Automatic
"Lagos State, Amuwo-Odofin",Ford Mustang 2018 Gray,"47,250,000",Foreign Used,38619 km,Automatic
"Lagos State, Isolo",Lexus RX 350 FWD 2013 Black,"27,040,000",Foreign Used,282070 km,Automatic
"Abuja (FCT), Asokoro",Toyota Highlander 2010 Black,"13,520,000",Local Used,281777 km,Automatic
"Rivers State, Port-Harcourt",Honda Pilot 2003 Gold,"2,730,000",Local Used,115694 km,Automatic
"Lagos State, Ikeja",Toyota Sienna 2005 Red,"4,515,000",Local Used,350772 km,Automatic
"Lagos State, Ikorodu",Toyota Camry 2003 Black,"3,990,000",Local Used,477983 km,Automatic
"Rivers State, Port-Harcourt",Toyota Corolla 2017 Black,"17,325,000",Foreign Used,75639 km,CVT
"Lagos State, Lekki",Lexus RX 350 2017 Gray,"44,720,000",Local Used,44029 km,Automatic
"Rivers State, Port-Harcourt",Honda Accord 2006 Silver,"2,625,000",Local Used,106916 km,Manual
"Lagos State, Lekki",Toyota RAV4 2007 Black,"7,800,000",Local Used,129662 km,Automatic
"Oyo State, Ibadan",Lexus ES 2002 Beige,"4,725,000",Local Used,160888 km,Automatic
"Oyo State, Ibadan",Toyota Corolla 2006 Blue,"5,250,000",Local Used,482800 km,Automatic
"Delta State, Oshimili South",Toyota Corolla 2008 Black,"4,200,000",Local Used,142191 km,Manual
"Lagos State, Ikotun/Igando",Nissan Maxima 2005 Black,"4,200,000",Local Used,110525 km,Automatic
"Oyo State, Ibadan",Jeep Wrangler 2014 Black,"42,000,000",Local Used,91384 km,Automatic
"Oyo State, Ibadan",Nissan Primera 1998 Silver,"1,575,000",Local Used,577304 km,Manual
"Lagos State, Ikorodu",Toyota RAV4 Base FWD 2001 Blue,"4,095,000",Local Used,200747 km,Automatic
"Lagos State, Alimosho",Toyota Camry 2007 Blue,"10,920,000",Foreign Used,304236 km,Automatic
"Lagos State, Lekki",Mercedes-Benz CLA-Class CLA 250 Sedan 2014 White,"13,020,000",Local Used,241903 km,Automatic
"Lagos State, Ikoyi",Kia Sportage 2013 Black,"7,350,000",Local Used,128296 km,Automatic
"Abuja (FCT), Karu",Toyota Corolla 2005 Black,"3,675,000",Local Used,299999 km,Automatic
"Abuja (FCT), Kubwa",Peugeot 508 2018 Black,"15,750,000",Local Used,88855 km,Automatic
"Akwa Ibom State, Uyo",Lexus RX 300 4WD 2000 Brown,"4,680,000",Local Used,129622 km,Automatic
"Edo State, Benin City",Mercedes-Benz CLK 2003 Black,"3,675,000",Local Used,125190 km,Automatic
"Lagos State, Lekki",Mercedes-Benz GLA-Class 2017 Black,"58,800,000",Local Used,34800 km,Automatic
"Kaduna State, Kaduna / Kaduna State",Hyundai Elantra 2013 White,"9,450,000",Foreign Used,83166 km,Automatic
"Lagos State, Ikoyi",Toyota Land Cruiser Prado 2013 Black,"28,350,000",Local Used,248027 km,Automatic
"Lagos State, Ikeja",Lexus RX 2006 Black,"9,360,000",Local Used,Automatic,Automatic
"Lagos State, Ikotun/Igando",Lexus RX 300 2003 Gray,"5,720,000",Local Used,98868 km,Automatic
"Lagos State, Ikeja",GMC Terrain 2013 Black,"12,600,000",Local Used,364193 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Venza V6 2010 White,"12,048,750",Local Used,236601 km,Automatic
"Oyo State, Ibadan",BMW 5 Series 2009 Silver,"3,675,000",Foreign Used,173893 km,Automatic
"Abia State, Umuahia",Acura MDX 2008 White,"4,200,000",Local Used,180342 km,Automatic
"Lagos State, Amuwo-Odofin",Honda Accord 2008 Silver,"6,864,000",Local Used,223888 km,Automatic
"Lagos State, Surulere",Lexus RX 350 2008 Gold,"7,560,000",Local Used,215350 km,Automatic
"Lagos State, Ogudu",Toyota Corolla 2009 White,"6,300,000",Local Used,266965 km,Automatic
"Lagos State, Ajah",Mercedes-Benz S-Class 2015 Black,"40,950,000",Local Used,123334 km,Automatic
"Lagos State, Yaba",Toyota Corolla 2013 Black,"5,775,000",Local Used,311911 km,Automatic
"Lagos State, Ojodu",Lexus RX 300 2000 Black,"3,675,000",Local Used,548424 km,Automatic
"Abuja (FCT), Kubwa",Toyota Camry 2008 Gold,"8,320,000",Local Used,196164 km,Automatic
"Abuja (FCT), Kubwa",Toyota Corolla 2009 Blue,"11,960,000",Foreign Used,48751 km,Automatic
"Abuja (FCT), Kubwa",Toyota Highlander 2022 White,"101,920,000",Foreign Used,15523 km,Automatic
"Abuja (FCT), Kubwa",Toyota RAV4 2018 Red,"36,400,000",Foreign Used,119765 km,Automatic
"Abuja (FCT), Kubwa",Toyota RAV4 2015 Black,"23,920,000",Foreign Used,47768 km,Automatic
"Rivers State, Port-Harcourt",Honda Accord 5P 2001 Silver,"2,288,000",Local Used,Automatic,Automatic
"Abuja (FCT), Jabi",Hyundai Elantra 2008 White,"7,280,000",Local Used,154894 km,Automatic
"Lagos State, Surulere",Hyundai Elantra 2008 White,"3,885,000",Local Used,240470 km,Automatic
"Abuja (FCT), Gudu",Toyota Corolla 2014 Blue,"26,000,000",Foreign Used,65520 km,Automatic
"Lagos State, Kosofe",Honda Accord 2009 Black,"9,360,000",Foreign Used,127467 km,Automatic
"Lagos State, Surulere",Lexus GX 2004 Gold,"9,880,000",Local Used,341341 km,Automatic
"Abuja (FCT), Gudu",Toyota Camry 2010 Gray,"8,320,000",Local Used,75057 km,Automatic
"Abuja (FCT), Gwagwalada",Infiniti QX4 2002 Black,"3,675,000",Local Used,209090 km,Automatic
"Lagos State, Lekki",Mercedes-Benz C300 2015 Silver,"24,440,000",Local Used,176858 km,Automatic
"Lagos State, Ojodu",Honda Crosstour 3.5 AWD 2011 Black,"6,825,000",Local Used,162683 km,Automatic
"Lagos State, Alimosho",Toyota Corolla 2006 Gold,"4,725,000",Local Used,301370 km,Automatic
"Lagos State, Surulere",Honda Accord 2003 Black,"3,952,000",Local Used,483437 km,Automatic
"Lagos State, Lekki",BMW 325i 2014 Black,"13,650,000",Local Used,175158 km,Automatic
"Lagos State, Lekki",Toyota Venza 2011 Black,"15,540,000",Foreign Used,102501 km,Automatic
"Lagos State, Lekki",Toyota Sienna 2013 Gray,"9,135,000",Local Used,80026 km,Automatic
"Lagos State, Ajah",Mercedes-Benz GL-Class 2013 Black,"19,320,000",Local Used,145630 km,Automatic
"Lagos State, Amuwo-Odofin",Mercedes-Benz GLC-Class 2018 Silver,"44,415,000",Foreign Used,78865 km,Automatic
"Ogun State, Abeokuta North",Mercedes-Benz C300 2008 Gray,"7,350,000",Local Used,281743 km,Automatic
"Rivers State, Port-Harcourt",Toyota Corolla LE 2007 Gray,"4,620,000",Local Used,19039 km,Automatic
"Abuja (FCT), Kubwa",Honda Accord 2003 Silver,"3,640,000",Local Used,14588 km,Automatic
"Abuja (FCT), Garki 2",Honda Accord 2010 Black,"4,908,750",Local Used,Automatic,Automatic
"Delta State, Oshimili South",Lexus RX 350 2017 Black,"34,650,000",Local Used,107908 km,Automatic
"Enugu State, Enugu",Lexus RX 300 1999 Silver,"4,888,000",Local Used,294968 km,Automatic
"Delta State, Oshimili South",GAC GS8 2019 White,"84,000,000",Foreign Used,24447 km,Automatic
"Lagos State, Amuwo-Odofin",Lexus RX 2001 Blue,"6,240,000",Local Used,445651 km,Automatic
"Abuja (FCT), Garki 2",Honda Accord 2008 Blue,"6,760,000",Local Used,Automatic,Automatic
"Abuja (FCT), Gwagwalada",Mazda 3 2010 Black,"3,675,000",Local Used,272139 km,Automatic
"Delta State, Oshimili South",Mercedes-Benz M Class 2010 Silver,"9,975,000",Local Used,320981 km,Automatic
"Edo State, Benin City",Toyota Yaris 2008 Black,"2,940,000",Local Used,Automatic,Automatic
"Lagos State, Alimosho",Toyota Camry 2010 Silver,"8,840,000",Local Used,280747 km,Automatic
"Abuja (FCT), Karu",Lexus ES 350 2007 Blue,"7,586,250",Local Used,233285 km,Automatic
"Abuja (FCT), Wuse",Lincoln MKZ 2017 Red,"26,250,000",Local Used,176588 km,Automatic
"Lagos State, Yaba",Hyundai Elantra 2009 Black,"4,200,000",Local Used,179097 km,Automatic
"Lagos State, Yaba",Mercedes-Benz C300 2008 Red,"7,770,000",Local Used,247194 km,Automatic
"Abuja (FCT), Wuse",Toyota Corolla 2009 White,"7,350,000",Local Used,121340 km,Automatic
"Lagos State, Ilupeju",Toyota Sienna 2011 Gray,"21,840,000",Local Used,50656 km,Automatic
"Abuja (FCT), Gwarinpa",Hyundai Elantra 2018 Red,"18,690,000",Foreign Used,92807 km,Automatic
"Abuja (FCT), Gwarinpa",Toyota Highlander 2015 Gold,"27,040,000",Local Used,59082 km,Automatic
"Abuja (FCT), Kubwa",Nissan Pathfinder 2006 Gray,"3,150,000",Local Used,197888 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Camry 2003 Black,"3,885,000",Local Used,237356 km,Automatic
"Lagos State, Yaba",Nissan NV3500 2014 White,"8,400,000",Local Used,267194 km,Manual
"Abuja (FCT), Lugbe District",Mercedes-Benz M Class ML 350 4Matic 2008 Black,"5,806,500",Local Used,331295 km,Automatic
"Lagos State, Lekki",Toyota Avalon 2014 Burgandy,"22,880,000",Foreign Used,125494 km,Automatic
"Lagos State, Kosofe",Toyota Sienna 2006 Gray,"10,920,000",Foreign Used,312826 km,Automatic
"Abuja (FCT), Gudu",Toyota Camry 2006 Green,"7,176,000",Local Used,268974 km,Automatic
"Lagos State, Ojodu",Toyota Camry 2003 Gold,"3,780,000",Local Used,176014 km,Automatic
"Abuja (FCT), Lugbe District",Honda Accord 5P 2001 Silver,"2,600,000",Local Used,433770 km,Automatic
"Lagos State, Amuwo-Odofin",Nissan Pathfinder 2003 Gold,"3,990,000",Local Used,272285 km,Automatic
"Lagos State, Amuwo-Odofin",Lexus RX 350 2010 Red,"23,920,000",Foreign Used,296976 km,Automatic
"Abuja (FCT), Wuse",Honda Accord 2009 Brown,"4,935,000",Local Used,336770 km,Automatic
"Lagos State, Isolo",Honda Accord 2006 Red,"2,425,500",Local Used,148180 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Corolla 2003 Green,"5,200,000",Local Used,298455 km,Automatic
"Lagos State, Isolo",Honda Crosstour 2011 White,"9,360,000",Local Used,165274 km,Automatic
"Rivers State, Port-Harcourt",Toyota Camry 2007 Silver,"6,760,000",Local Used,144935 km,Automatic
"Rivers State, Port-Harcourt",Toyota Corolla 2007 Gold,"4,830,000",Local Used,58205 km,Automatic
"Rivers State, Port-Harcourt",Toyota Camry 2012 Gray,"9,660,000",Local Used,184191 km,Automatic
"Rivers State, Port-Harcourt",Toyota Camry 2006 Black,"3,937,500",Local Used,215678 km,Automatic
"Edo State, Benin City",Toyota Corolla 2009 Black,"7,140,000",Local Used,1486691 km,Automatic
"Abuja (FCT), Gwagwalada",Peugeot 307 2003 Silver,"3,150,000",Local Used,999999 km,Manual
"Abuja (FCT), Lugbe District",Toyota Avalon 2012 Silver,"9,975,000",Local Used,258371 km,Automatic
"Lagos State, Ojodu",Toyota 4-Runner Limited 4WD 2010 Black,"22,152,000",Local Used,106375 km,Automatic
"Abuja (FCT), Karu",Toyota Corolla 2004 Red,"4,096,575",Local Used,153212 km,Automatic
"Delta State, Oshimili South",Toyota Camry 2008 Gray,"6,090,000",Local Used,159197 km,Automatic
"Oyo State, Ibadan",Hyundai Santa Fe 2016 Gray,"21,000,000",Foreign Used,114137 km,Automatic
"Lagos State, Lekki",Mercedes-Benz GLK-Class 350 4MATIC 2014 White,"25,480,000",Foreign Used,232969 km,Automatic
"Lagos State, Ajah",Toyota Camry 2009 Blue,"6,300,000",Local Used,234928 km,Automatic
"Abuja (FCT), Kubwa",BMW X5 2008 Gray,"10,400,000",Local Used,171585 km,Automatic
"Lagos State, Ikeja",Land Rover Range Rover Velar 2019 Blue,"56,227,500",Local Used,88450 km,Automatic
"Oyo State, Ibadan",Acura MDX 2007 Gray,"5,250,000",Local Used,141001 km,Automatic
"Lagos State, Ikorodu",Honda Civic 2007 Green,"2,520,000",Local Used,105030 km,Manual
"Lagos State, Ikotun/Igando",Volkswagen Jetta 2012 Black,"8,924,998",Foreign Used,175045 km,Automatic
"Lagos State, Kosofe",Toyota Camry 2012 Black,"11,440,000",Local Used,218961 km,Automatic
"Abuja (FCT), Central Business District",BMW 330i 2006 Black,"7,350,000",Local Used,308465 km,Automatic
"Enugu State, Enugu",Volkswagen Golf Variant 1999 Red,"2,310,000",Local Used,128150 km,Automatic
